id,emotion,race
0c1,happy,white
0c2,happy,white
4c1,happy,hispanic
4c2,happy,white
18c1,neutral,white
36c1,neutral,black
42c1,happy,black
56c1,neutral,white
62c1,neutral,white
64c1,happy,white
94c1,neutral,white
112c1,neutral,black
114c1,happy,asian
116c1,happy,white
176c1,happy,white
176c2,happy,white
180c1,neutral,white
180c2,neutral,asian
180c3,happy,white
190c1,happy,white
194c1,neutral,asian
202c1,happy,white
204c1,happy,white
208c1,happy,white
218c1,happy,white
218c2,neutral,black
228c1,neutral,white
234c1,angry,white
240c1,neutral,white
246c1,happy,white
268c1,happy,indian
280c1,happy,white
314c1,neutral,white
316c1,happy,white
316c2,sad,white
316c3,angry,hispanic
326c1,happy,hispanic
330c1,neutral,white
342c1,sad,indian
360c1,happy,black
366c1,happy,asian
366c2,happy,asian
374c1,happy,white
380c1,happy,white
384c1,happy,black
396c1,happy,black
402c1,neutral,hispanic
402c1,neutral,black
402c3,neutral,hispanic
410c1,neutral,asian
415c1,neutral,asian
425c1,happy,white
445c1,neutral,black
457c1,neutral,white
461c1,happy,white
467c1,neutral,black
475c1,happy,white
499c1,neutral,white
503c1,happy,white
503c2,happy,white
533c1,neutral,indian
549c1,neutral,indian
549c2,neutral,indian
553c1,neutral,indian
553c2,neutral,indian
563c1,neutral,indian
565c1,happy,indian
629c1,happy,indian
637c1,angry,indian
641c1,angry,indian
641c2,neutral,indian
641c3,sad,indian
655c1,neutral,indian
657c1,happy,white
657c2,happy,white
661c1,happy,white
669c1,neutral,indian
675c1,neutral,indian
683c1,neutral,indian
691c1,happy,black
691c2,happy,black
701c1,happy,white
